Year,Set Name,Region,Set Type
1996,Base Set,JP,Main
1997,Jungle,JP,Main
1997,Fossil,JP,Main
1997,Team Rocket,JP,Main
1998,Gym Heroes,JP,Main
1998,Gym Challenge,JP,Main
1999,Neo Genesis,JP,Main
2000,Neo Discovery,JP,Main
2000,Neo Revelation,JP,Main
2001,Neo Destiny,JP,Main
2001,Expedition Base Set,JP,Main
2001,Aquapolis,JP,Main
2001,Skyridge,JP,Main
1999,Base Set,EN,Main
1999,Jungle,EN,Main
1999,Fossil,EN,Main
2000,Base Set 2,EN,Main
2000,Team Rocket,EN,Main
2000,Gym Heroes,EN,Main
2000,Gym Challenge,EN,Main
2000,Neo Genesis,EN,Main
2001,Neo Discovery,EN,Main
2001,Neo Revelation,EN,Main
2002,Neo Destiny,EN,Main
2002,Legendary Collection,EN,Main
2002,Expedition Base Set,EN,Main
2003,Aquapolis,EN,Main
2003,Skyridge,EN,Main
2003,EX Ruby & Sapphire,EN,Main
2003,EX Sandstorm,EN,Main
2003,EX Dragon,EN,Main
2004,EX Team Magma vs Team Aqua,EN,Main
2004,EX Hidden Legends,EN,Main
2004,EX FireRed & LeafGreen,EN,Main
2004,EX Team Rocket Returns,EN,Main
2005,EX Deoxys,EN,Main
2005,EX Emerald,EN,Main
2005,EX Unseen Forces,EN,Main
2005,EX Delta Species,EN,Main
2006,EX Legend Maker,EN,Main
2006,EX Holon Phantoms,EN,Main
2006,EX Crystal Guardians,EN,Main
2006,EX Dragon Frontiers,EN,Main
2007,EX Power Keepers,EN,Main
2007,Diamond & Pearl,EN,Main
2007,Mysterious Treasures,EN,Main
2007,Secret Wonders,EN,Main
2008,Great Encounters,EN,Main
2008,Majestic Dawn,EN,Main
2008,Legends Awakened,EN,Main
2008,Stormfront,EN,Main
2009,Platinum,EN,Main
2009,Rising Rivals,EN,Main
2009,Supreme Victors,EN,Main
2009,Arceus,EN,Main
2010,HeartGold & SoulSilver,EN,Main
2010,Unleashed,EN,Main
2010,Undaunted,EN,Main
2010,Triumphant,EN,Main
2011,Call of Legends,EN,Main
2011,Black & White,EN,Main
2011,Emerging Powers,EN,Main
2011,Noble Victories,EN,Main
2012,Next Destinies,EN,Main
2012,Dark Explorers,EN,Main
2012,Dragons Exalted,EN,Main
2012,Boundaries Crossed,EN,Main
2013,Plasma Storm,EN,Main
2013,Plasma Freeze,EN,Main
2013,Plasma Blast,EN,Main
2013,Legendary Treasures,EN,Main
2014,XY,EN,Main
2014,Flashfire,EN,Main
2014,Furious Fists,EN,Main
2014,Phantom Forces,EN,Main
2015,Primal Clash,EN,Main
2015,Roaring Skies,EN,Main
2015,Ancient Origins,EN,Main
2015,BREAKthrough,EN,Main
2016,BREAKpoint,EN,Main
2016,Fates Collide,EN,Main
2016,Steam Siege,EN,Main
2016,Evolutions,EN,Main
2017,Sun & Moon,EN,Main
2017,Guardians Rising,EN,Main
2017,Burning Shadows,EN,Main
